artist,format,genre,length,producer,recorded,release,song,songwriter,year
Exposé,CD maxi-single,"
,
,
,Ballad,
,adult contemporary,
,
,
","
,Length,
,3,:,49,
",Guy Roche,1992,25-Feb-93,I'll Never Get Over You (Getting Over Me),Diane Warren,1993
Whitney Houston,"
,
,
,7"" vinyl single,
,12"" vinyl single,
,
,
,
,
,
,CD single,
,cassette single,
,7"" single,
,12"" single,
,video single,
,
,
","Disco,
,
,
,Dance-pop,
,house,
,
,
","
,Length,
,
,
,
,4,:,07, ,(album version),
,3:42 ,(single edit),
,
,
,
","Arif Mardin,
,
,
,Narada Michael Walden,
,Louis Biancaniello,
,David Cole,
,Robert Clivillés,
,
,
","1978,March – May 1992","September 1978,January 2, 1993",I'm Every Woman,"
,
,
,Nickolas Ashford,
,Valerie Simpson,
,
,
,
,
,
,Nickolas Ashford,
,Valerie Simpson,
,
,
",1993
Ace of Base,"
,
,
,CD,
,maxi CD,
,7"",
,
,
","
,
,
,Euro reggae,
,dance-pop,
,
,
","
,Length,
,3,:,12,
","
,
,
,Joker,
,Denniz Pop,
,Douglas Carr,
,
,
",1993,"
,
",The Sign,"
,
,
,Jenny Berggren,
,Jonas Berggren,
,Linn Berggren,
,Ulf Ekberg,
,
,
",1994
Boyz II Men,,"R&B,, ,pop","
,Length,
,3,:,22,
",Babyface,1994,"April 10, 1995",Water Runs Dry,Babyface,1995
Hootie & the Blowfish,CD single,"Pop rock,[1]","
,Length,
,4,:,15,
",Don Gehman,,18-Jul-94,Hold My Hand,"
,
,
,Mark Bryan,
,Dean Felber,
,Darius Rucker,
,Jim Sonefeld,
,
,
",1995
Jon B.,cassette single,"
,
,
,R&B,
,blue-eyed soul,
,
,
","
,Length,
,4,:,33,
",Babyface,1995,"April 3, 1995",Someone to Love,Babyface,1995
Brandy,"
,
,
,CD single,
,""12,
,cassette,
,
,
","
,
,
,R&B,
,hip hop soul,
,
,
","
,Length,
,4,:,51,
",Keith Crouch,1994,"September 6, 1994",I Wanna Be Down,"
,
,
,Keith Crouch,
,Kipper Jones,
,
,
",1995
2Pac,"
,
,
,CD,
,cassette,
,12"",
,
,
","
,
,
,Conscious hip hop,
,R&B,
,
,
","
,Length,
,4,:,39,
","
,
,
,Tony Pizarro,
,DF Master Tee (co-producer),
,Moses (co-producer),
,
,
","July 1994,40",21-Feb-95,Dear Mama,Tupac Shakur,1995
Sister Hazel,CD single,"Southern rock,, ,alternative rock,, ,jangle pop","
,Length,
,3,:,24, ,(Original Version),
3:38 ,(,...Somewhere More Familiar, Version),
",Paul Ebersold,"
,
1996 (full band version)",24-Jun-97,All for You,K Block and Sister Hazel,1997
"Somethin' for the People,Trina & Tamara","
,
,
,12"",
,CD,
,cassette,
,
,
",R&B,"
,Length,
,
,
,
,5,:,08, ,(album version),
,4,:,19, ,(single edit),[2],[3],
,
,
,
","Somethin' for the People,[4]",1997,"August 12, 1997",My Love Is the Shhh!,"
,
,
,Curtis ""Sauce"" Wilson,
,Roshad Holiday,
,Jeff ""Fuzzy"" Young,
,Tamara Powell,
,James Baker,
,Melvin Young,
,
,
,[2]",1997
White Town,"
,
,
,7"",
,12,
,CD,
,
,
,CD,, ,Digital download,Digital download","
,
,
,Alternative dance,
,trip hop,
,funktronica,
,bedroom pop,
,
,
,Pop,Pop","
,Length,
,4,:,20,
","White Town,Chelsea Nikkel, Jonathan Bree","199,620,042,004","13 January 1997,22 August 2005,6 February 2009",Your Woman,Jyoti Mishra,1997
Matchbox Twenty,"CD single,, ,audio cassette","Pop rock,, ,soft rock,, ,alternative rock,, ,country rock","
,Length,
,3,:,48,
",Matt Serletic,"2002,8","April 3, 2003",Unwell,Rob Thomas,2003
"Ciara,Petey Pablo","
,
,
,Digital download,
,CD single,
,
,
","
,
,
,Crunk&B,
,hip hop,
,
,
","
,Length,
,3,:,43,
",Lil Jon,Oct-03,"June 8, 2004",Goodies,"
,
,
,Ciara Harris,
,Sean Garrett,
,LaMarquis Jefferson,
,Craig Love,
,Zachary Wallace,
,Jonathan ""Lil Jon"" Smith,
,
,
",2004
